actor1,actor2,shows,num
3748,3308,"The Irishman, GoodFellas, Taxi Driver, The Irishman: In Conversation",4
1549,11472,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",10
1549,11473,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",12
1549,11474,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
1549,11475,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
1549,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
1549,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11472,11473,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail",10
11472,11474,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",11
11472,11475,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",11
11472,11476,"Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail",11
11472,11478,"Monty Python and the Holy Grail, Monty Python Live at the Hollywood Bowl, Life of Brian, Monty Python: Almost the Truth (The Lawyer's Cut)",4
11473,11474,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
11473,11475,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
11473,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Before the Flying Circus, Monty Python's Flying Circus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",13
11473,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11474,11475,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",14
11474,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",14
11474,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11475,11476,"The Meaning of Monty Python, Monty Python: Almost the Truth (The Lawyer's Cut), Monty Python: The Meaning of Live, Life of Brian, Parrot Sketch Not Included: Twenty Years of Monty Python, Monty Python's Personal Best, Monty Python Conquers America, Monty Python: Live at Aspen, Monty Python Live at the Hollywood Bowl, Monty Python's Flying Circus, Before the Flying Circus, Monty Python's Fliegender Zirkus, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",14
11475,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
11476,11478,"Monty Python: The Meaning of Live, Monty Python: Almost the Truth (The Lawyer's Cut), Life of Brian, Monty Python Live at the Hollywood Bowl, Monty Python and the Holy Grail, Monty Python: Live (Mostly)",6
28172,97338,"Mobile Suit Gundam: Char's Counterattack, Mobile Suit Gundam II: Soldiers of Sorrow, Mobile Suit Gundam III: Encounters in Space",3
62784,38637,"Mujrim, Phir Bhi Dil Hai Hindustani, Phir Hera Pheri",3
62784,54349,"Aakhri Adaalat, Mujrim, Duplicate, Jaal",4
22308,28164,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
22308,58214,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,58215,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,60138,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,177866,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
22308,36373,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
22308,45306,"One Piece: Strong World, One Piece, One Piece Film: Z",3
22308,58718,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,58214,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,58215,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,60138,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,177866,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,36373,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28164,45306,"One Piece: Strong World, One Piece, One Piece Film: Z",3
28164,58718,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
58214,58215,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
58214,60138,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
58214,177866,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
58214,36373,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
58214,45306,"One Piece: Strong World, One Piece, One Piece Film: Z",3
58214,58718,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
58215,60138,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, Tiger & Bunny: The Beginning, One Piece, One Piece: Strong World",6
58215,177866,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
58215,36373,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
58215,45306,"Inuyasha the Movie: Affections Touching Across Time, Inuyasha the Movie 3: Swords of an Honorable Ruler, One Piece Film: Z, One Piece, Inuyasha the Movie 4: Fire on the Mystic Island, One Piece: Strong World",6
58215,58718,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
60138,177866,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
60138,36373,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
60138,45306,"One Piece: Strong World, One Piece, One Piece Film: Z",3
60138,58718,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
177866,36373,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece: Strong World, One Piece",3
177866,45306,"One Piece: Strong World, One Piece, One Piece Film: Z",3
177866,58718,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
36373,45306,"One Piece: Strong World, One Piece, One Piece Film: Z",3
36373,58718,"One Piece: The Desert Princess and the Pirates: Adventure in Alabasta, One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom, One Piece Film: Z, One Piece, One Piece: Strong World",5
28166,22311,"Pokémon the Movie: Secrets of the Jungle, Pokemon the Movie: Mewtwo Strikes Back - Evolution, Ghost in the Shell: SAC_2045, Ghost in the Shell: SAC_2045 Sustainable War, Cowboy Bebop",5
2317,2327,"The Ridiculous 6, Big Daddy, Grown Ups, Murder Mystery, The Do-Over, The Week Of, Sandy Wexler, Hubie Halloween",8
2317,8472,"The Ridiculous 6, Big Daddy, Grown Ups, Sandy Wexler, Hubie Halloween",5
2317,24221,"Big Daddy, The Do-Over, Adam Sandler: 100% Fresh",3
2317,2338,"The Meyerowitz Stories (New and Selected), The Ridiculous 6, Big Daddy, The Do-Over, The Week Of, Sandy Wexler, Hubie Halloween",7
2317,2345,"Big Daddy, Murder Mystery, Sandy Wexler, Hubie Halloween",4
2317,18238,"The Ridiculous 6, Big Daddy, Murder Mystery, The Do-Over, Sandy Wexler",5
2327,8472,"The Ridiculous 6, Home Team, The Wrong Missy, Big Daddy, Grown Ups, Sandy Wexler, Hubie Halloween",7
2327,2338,"The Ridiculous 6, Father of the Year, Home Team, The Wrong Missy, Big Daddy, The Do-Over, The Week Of, Sandy Wexler, Hubie Halloween",9
2327,2345,"Father of the Year, The Wrong Missy, Big Daddy, Murder Mystery, Sandy Wexler, Hubie Halloween",6
2327,18238,"The Ridiculous 6, The Wrong Missy, Big Daddy, Murder Mystery, The Do-Over, Sandy Wexler",6
8472,2338,"The Ridiculous 6, Home Team, The Wrong Missy, Big Daddy, Sandy Wexler, Hubie Halloween",6
8472,2345,"Big Daddy, Hubie Halloween, Sandy Wexler, The Wrong Missy",4
8472,18238,"Big Daddy, Sandy Wexler, The Ridiculous 6, The Wrong Missy",4
5145,2338,"Big Daddy, Hubie Halloween, The Ridiculous 6, The Week Of",4
24221,2338,"Big Daddy, Sandy Wexler, The Do-Over, Hubie Halloween",4
24221,2345,"Big Daddy, Sandy Wexler, Hubie Halloween",3
24221,18238,"Big Daddy, Sandy Wexler, The Do-Over",3
2338,2345,"Father of the Year, The Wrong Missy, Big Daddy, Sandy Wexler, Hubie Halloween",5
2338,18238,"The Ridiculous 6, The Wrong Missy, Big Daddy, The Do-Over, Sandy Wexler",5
2345,18238,"Big Daddy, Murder Mystery, Sandy Wexler, The Wrong Missy",4
434,58215,"Inuyasha the Movie 4: Fire on the Mystic Island, Inuyasha the Movie: Affections Touching Across Time, InuYasha",3
84497,104145,"Neon Genesis Evangelion: The End of Evangelion, BAKI, Violet Evergarden: The Movie",3
38632,38633,"Kabhi Khushi Kabhie Gham, Kuch Kuch Hota Hai, Kal Ho Naa Ho, Duplicate, Zero, Om Shanti Om, Kabhi Alvida Naa Kehna",7
38632,45227,"Kuch Kuch Hota Hai, Paheli, Kabhi Alvida Naa Kehna, Chalte Chalte",4
38632,38637,"Kabhi Khushi Kabhie Gham, Kuch Kuch Hota Hai, Anjaam, Phir Bhi Dil Hai Hindustani, Chalte Chalte",5
38632,45230,"Kuch Kuch Hota Hai, Om Shanti Om, Kabhi Alvida Naa Kehna",3
38633,45230,"Kuch Kuch Hota Hai, Om Shanti Om, Kabhi Alvida Naa Kehna",3
45227,45228,"Zero, Kuch Kuch Hota Hai, Hello Brother",3
45227,38637,"Kabhi Khushi Kabhie Gham, Kuch Kuch Hota Hai, Chalte Chalte",3
45227,45230,"Kabhi Khushi Kabhie Gham, Kuch Kuch Hota Hai, Luck by Chance, Bombay Talkies, Om Shanti Om, Kabhi Alvida Naa Kehna",6
63306,38637,"Kabhi Khushi Kabhie Gham, Kuch Kuch Hota Hai, Anjaam",3
45228,62780,"Hum Aapke Hain Koun..!, Om Shanti Om, Hum Saath Saath Hain",3
63361,38632,"Dil Se.., Om Shanti Om, Kabhi Alvida Naa Kehna, Kal Ho Naa Ho",4
145986,64475,"Love per Square Foot, Dil Se.., Ray",3
38632,258026,"Zero, Phir Bhi Dil Hai Hindustani, Dil Se..",3
30234,28469,"Wild Tango, Offering to the Storm, The Legacy of the Bones",3
45444,45436,"Bombay, Bāhubali: The Beginning, Bāhubali 2: The Conclusion",3
64203,66323,"Kannathil Muthamittal, Bombay, Ok Kanmani",3
64203,45436,"Bombay, Minsara Kanavu, Sei, Sila Samayangalil",4
5410,61013,"Bombay Talkies, Dil Dhadakne Do, Mann",3
45227,61013,"Luck by Chance, Talaash, Mann, Bombay Talkies",4
62784,64107,"Kisaan, Soldier, Phir Bhi Dil Hai Hindustani",3
53151,62780,"Om Shanti Om, Hum Saath Saath Hain, Kal Ho Naa Ho",3
53151,61019,"Bombay Talkies, Om Shanti Om, Hum Saath Saath Hain",3
45228,61019,"Zero, Om Shanti Om, Hum Saath Saath Hain, Bodyguard",4
2124,11474,"Monty Python: Live at Aspen, Monty Python: Live (Mostly), What About Dick?",3
29760,38632,"Phir Bhi Dil Hai Hindustani, Luck by Chance, Duplicate, Bombay Talkies, Paheli, Zero, Om Shanti Om",7
29760,38633,"Duplicate, Zero, Om Shanti Om",3
69034,38637,"Dhoondte Reh Jaaoge, Phir Bhi Dil Hai Hindustani, Phir Hera Pheri, Awara Paagal Deewana, Kannum Kannum Kollaiyadithaal",5
62780,38632,"Phir Bhi Dil Hai Hindustani, Om Shanti Om, Kal Ho Naa Ho",3
65673,64509,"Kisaan, Jaane Tu... Ya Jaane Na, Hello Brother",3
31988,65831,"One Last Shot, Trailer Park Boys: Live at the North Pole, The Trailer Park Boys Xmas Special, Trailer Park Boys: Out of the Park: Europe, Trailer Park Boys: The Animated Series, Trailer Park Boys: Out of the Park: USA, Trailer Park Boys - Live in F**kin' Dublin",7
10373,4570,"The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie, Breaking Bad, El Camino: A Breaking Bad Movie",3
12429,17124,"Starsky & Hutch, Old School, Due Date",3
1069,17124,"Starsky & Hutch, Semi-Pro, Old School",3
18723,14142,"LEGO DC Comics Super Heroes: Batman Be-Leaguered, Avatar: The Last Airbender, Sharkdog’s Fintastic Halloween",3
8707,15921,"Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend, Michael Bolton's Big, Sexy Valentine's Day Special, Anchorman: The Legend of Ron Burgundy",3
4677,4216,"Kung Fu Panda 3, Kung Fu Panda 2, Kung Fu Panda: Secrets of the Scroll, Anchorman: The Legend of Ron Burgundy",4
88323,389,"Naruto Shippuden the Movie: Bonds, Naruto, Tiger & Bunny: The Rising",3
388,389,"Shaman King, Naruto, Naruto Shippuden the Movie: The Will of Fire",3
388,30774,"Naruto, Naruto Shippuden the Movie, Naruto Shippuden the Movie: The Will of Fire",3
388,57654,"Naruto Shippuden the Movie: The Will of Fire, Bleach the Movie: Hell Verse, Naruto, Bleach the Movie: Fade to Black",4
388,57416,"Naruto, Naruto Shippuden the Movie, Naruto Shippuden the Movie: The Will of Fire",3
388,57417,"Naruto, Naruto Shippuden the Movie, Naruto Shippuden the Movie: The Will of Fire",3
388,57418,"Naruto, Naruto Shippuden the Movie, Naruto Shippuden the Movie: The Will of Fire",3
389,30774,"Naruto Shippuden the Movie: Bonds, Naruto, Naruto Shippuden the Movie: The Will of Fire",3
389,57654,"Naruto Shippuden the Movie: Bonds, Naruto, Naruto Shippuden the Movie: The Will of Fire",3
389,57416,"Naruto Shippuden the Movie: Bonds, Naruto, Naruto Shippuden the Movie: The Will of Fire",3
